OBJECTID,Tract,ZIP,Population,CIscore4,CIscoreP4,Pollution,Pollution Score,Pollution Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Characteristics,Pop. Characteristics Score,Pop. Characteristics Pctl,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,City,AB1500,CES3_DAC,CES4_DAC,CES_Any_DAC,CES_AnyAnd_AB1550,tracttxt,HTCTop2,HTCTop,HTCTop2_and_CES_DAC,Shape__Area,Shape__Length,x,y
7055,6037432402,91731,6938,46.32415712,83.68633384,65.50732413,7.998431265,96.19166148,38.7,88.97747406,25,92.36703207,47.3,78.88190955,2.9,15.83810515,29.3,89.37896071,55.83260007,5.791655336,59.19062027,13.0297,71.0147,15.9556,52.9115,8.403,1.1819,0,37.1289,0.1009,0.2739,Los Angeles,El Monte,Yes,Yes,Yes,Yes,Yes,6037432402,Yes,Yes,Yes,1503298.0166473389,5724.325374324602,,
7066,6037404902,91706,3968,34.62926402,66.99445285,46.12247559,5.631545108,59.90043559,30.8,81.14401417,14.4,75.77480038,33.2,58.90703518,6.6,63.41749089,8,6.894803549,59.27899587,6.149158598,64.43519919,10.7107,74.2692,15.0202,63.7349,2.6714,0.0504,0,32.7621,0,0.7812,Los Angeles,Baldwin Park,Yes,Yes,No,Yes,Yes,6037404902,No,No,No,698279.6266098022,3585.6036181251357,,
7071,6037500300,90601,2973,39.8898558,74.79828543,64.81115371,7.913428994,95.71873055,7.2,30.86560364,1.7,13.30355934,10.5,11.26884422,2,6.298802707,17.5,51.77439797,48.59402811,5.040780151,48.197176,9.4181,67.3058,23.2762,54.1204,28.187,0,0,15.7753,0,1.9173,Los Angeles,Unincorporated Los Angeles County area,No,Yes,Yes,Yes,No,6037500300,No,No,No,8984036.48097992,13761.808377538218,,
7072,6037551300,90241,5449,42.59973997,78.81996974,57.02582825,6.962842302,86.23522091,29.9,80.03037206,12.2,69.22452294,39.5,68.4798995,7.1,68.40187402,19.4,60.55766793,58.98010387,6.118153783,63.90569844,11.2681,73.0226,15.7093,79.2622,11.7086,2.973,0,4.8633,0.3487,0.8442,Los Angeles,Downey,Yes,No,Yes,Yes,Yes,6037551300,Yes,No,Yes,1527925.027885437,5056.575414496356,,
7074,6037552900,90650,7156,40.58956625,76.02118003,49.17782891,6.004603141,68.33851898,27.5,76.92989117,10.6,64.13587766,39.8,68.94472362,3.5,23.7506507,19.2,59.7338403,65.1651269,6.759741701,73.20978316,13.8625,74.5249,11.6126,60.9698,10.6205,5.4919,0.4472,16.3779,4.0525,2.0402,Los Angeles,Norwalk,Yes,Yes,Yes,Yes,Yes,6037552900,No,No,No,1306017.1789855957,4870.863491277861,,
7075,6037552400,90650,2423,55.91826703,93.19213313,64.70338672,7.900270667,95.6316117,27.7,77.23361174,10.5,63.68926783,35.5,62.47487437,5.5,51.26236335,18.5,56.4765526,68.23337876,7.078019145,77.69793243,14.7338,74.7008,10.5654,78.4152,5.5716,3.7557,0.2476,9.1622,0,2.8477,Los Angeles,Norwalk,Yes,Yes,Yes,Yes,Yes,6037552400,No,No,No,930611.4730529785,4784.085769522666,,
7078,6037212304,90005,1832,53.65890504,91.42713061,55.62706867,6.792054035,83.5594275,36,86.20602379,32.2,96.61659223,67.6,96.4321608,10.2,87.06402915,27.5,85.95690748,76.15980405,7.900247078,88.23751891,12.0633,77.893,10.0437,62.4454,18.0131,4.5852,0.3821,13.4825,0.3821,0.7096,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037212304,Yes,Yes,Yes,206087.56160736084,1921.7600065860986,,
7080,6037212204,90005,3584,42.71126358,78.98386283,51.73047983,6.316281312,74.89732421,42.5,91.79954442,41,98.70077142,59.3,91.16834171,4.9,43.0895367,29.9,90.40557668,65.18776627,6.762090139,73.23499748,15.9319,73.9676,10.1004,68.1083,4.6038,8.51,0.4743,17.5781,0,0.7254,Los Angeles,Los Angeles,No,No,Yes,Yes,No,6037212204,Yes,Yes,Yes,212886.91180419922,1873.6577663862952,,
7086,6037213201,90006,3932,45.57577803,82.69036813,49.04791767,5.988741005,67.8780336,29.1,79.06859023,45.3,99.12031398,67.4,96.23115578,8.7,79.72410203,30.9,91.90114068,73.36411852,7.610243621,84.3419062,11.0631,73.4232,15.5137,43.7436,5.1373,1.1953,0,49.2116,0,0.7121,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037213201,Yes,Yes,Yes,334757.46183013916,2499.698451734777,,
7089,6037212900,90019,4067,41.69825518,77.63489662,54.34636041,6.635679811,80.99564406,26.6,75.74031891,28.9,95.10082555,47.5,79.13316583,4.4,36.4393545,29.4,89.56907478,60.57837298,6.283946238,66.35148764,13.2038,76.42,10.3762,51.3401,9.5894,11.286,0.4672,25.5471,0,1.7703,Los Angeles,Los Angeles,Yes,Yes,Yes,Yes,Yes,6037212900,Yes,Yes,Yes,374173.26233673096,2728.490662459815,,
